Hoàn tất import: Thêm 0, Cập nhập 279, Bỏ qua 0, Lỗi 0.

index	result	action	employee_code	message
1	SUCCESS	UPDATE_CHANGED	00004	Sẽ cập nhập
2	SUCCESS	UPDATE_CHANGED	00010	Sẽ cập nhập
3	SUCCESS	UPDATE_CHANGED	00042	Sẽ cập nhập
4	SUCCESS	UPDATE_CHANGED	00051	Sẽ cập nhập
5	SUCCESS	UPDATE_CHANGED	00104	Sẽ cập nhập
6	SUCCESS	UPDATE_CHANGED	00139	Sẽ cập nhập
7	SUCCESS	UPDATE_CHANGED	00222	Sẽ cập nhập
8	SUCCESS	UPDATE_CHANGED	00225	Sẽ cập nhập
9	SUCCESS	UPDATE_CHANGED	00243	Sẽ cập nhập
10	SUCCESS	UPDATE_CHANGED	00004	Sẽ cập nhập
11	SUCCESS	UPDATE_CHANGED	00010	Sẽ cập nhập
12	SUCCESS	UPDATE_CHANGED	00042	Sẽ cập nhập
13	SUCCESS	UPDATE_CHANGED	00051	Sẽ cập nhập
14	SUCCESS	UPDATE_CHANGED	00104	Sẽ cập nhập
15	SUCCESS	UPDATE_CHANGED	00139	Sẽ cập nhập
16	SUCCESS	UPDATE_CHANGED	00222	Sẽ cập nhập
17	SUCCESS	UPDATE_CHANGED	00225	Sẽ cập nhập
18	SUCCESS	UPDATE_CHANGED	00243	Sẽ cập nhập
19	SUCCESS	UPDATE_CHANGED	00004	Sẽ cập nhập
20	SUCCESS	UPDATE_CHANGED	00010	Sẽ cập nhập
21	SUCCESS	UPDATE_CHANGED	00042	Sẽ cập nhập
22	SUCCESS	UPDATE_CHANGED	00051	Sẽ cập nhập
23	SUCCESS	UPDATE_CHANGED	00104	Sẽ cập nhập
24	SUCCESS	UPDATE_CHANGED	00139	Sẽ cập nhập
25	SUCCESS	UPDATE_CHANGED	00222	Sẽ cập nhập
26	SUCCESS	UPDATE_CHANGED	00225	Sẽ cập nhập
27	SUCCESS	UPDATE_CHANGED	00243	Sẽ cập nhập
28	SUCCESS	UPDATE_CHANGED	00004	Sẽ cập nhập
29	SUCCESS	UPDATE_CHANGED	00010	Sẽ cập nhập
30	SUCCESS	UPDATE_CHANGED	00042	Sẽ cập nhập
31	SUCCESS	UPDATE_CHANGED	00051	Sẽ cập nhập
32	SUCCESS	UPDATE_CHANGED	00104	Sẽ cập nhập
33	SUCCESS	UPDATE_CHANGED	00139	Sẽ cập nhập
34	SUCCESS	UPDATE_CHANGED	00222	Sẽ cập nhập
35	SUCCESS	UPDATE_CHANGED	00225	Sẽ cập nhập
36	SUCCESS	UPDATE_CHANGED	00243	Sẽ cập nhập
37	SUCCESS	UPDATE_CHANGED	00004	Sẽ cập nhập
38	SUCCESS	UPDATE_CHANGED	00010	Sẽ cập nhập
39	SUCCESS	UPDATE_CHANGED	00042	Sẽ cập nhập
40	SUCCESS	UPDATE_CHANGED	00051	Sẽ cập nhập
41	SUCCESS	UPDATE_CHANGED	00104	Sẽ cập nhập
42	SUCCESS	UPDATE_CHANGED	00139	Sẽ cập nhập
43	SUCCESS	UPDATE_CHANGED	00222	Sẽ cập nhập
44	SUCCESS	UPDATE_CHANGED	00225	Sẽ cập nhập
45	SUCCESS	UPDATE_CHANGED	00243	Sẽ cập nhập
46	SUCCESS	UPDATE_CHANGED	00004	Sẽ cập nhập
47	SUCCESS	UPDATE_CHANGED	00010	Sẽ cập nhập
48	SUCCESS	UPDATE_CHANGED	00042	Sẽ cập nhập
49	SUCCESS	UPDATE_CHANGED	00051	Sẽ cập nhập
50	SUCCESS	UPDATE_CHANGED	00104	Sẽ cập nhập
51	SUCCESS	UPDATE_CHANGED	00139	Sẽ cập nhập
52	SUCCESS	UPDATE_CHANGED	00222	Sẽ cập nhập
53	SUCCESS	UPDATE_CHANGED	00225	Sẽ cập nhập
54	SUCCESS	UPDATE_CHANGED	00243	Sẽ cập nhập
55	SUCCESS	UPDATE_CHANGED	00004	Sẽ cập nhập
56	SUCCESS	UPDATE_CHANGED	00010	Sẽ cập nhập
57	SUCCESS	UPDATE_CHANGED	00042	Sẽ cập nhập
